S.No,Fivegram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
11,hatred for the Yadus especially,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'IN', 'DT', 'NNP', 'RB']"
12,for the Yadus especially Krishna,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NNP', 'RB', 'NNP']"
13,the Yadus especially Krishna who,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NNP', 'RB', 'NNP', 'WP']"
14,Yadus especially Krishna who had,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'RB', 'NNP', 'WP', 'VBD']"
15,especially Krishna who had denied,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['RB', 'NNP', 'WP', 'VBD', 'VBN']"
16,Krishna who had denied his,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'WP', 'VBD', 'VBN', 'PRP$']"
17,who had denied his friend,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['WP', 'VBD', 'VBN', 'PRP$', 'NN']"
18,had denied his friend of,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'VBN', 'PRP$', 'NN', 'IN']"
19,denied his friend of his,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'PRP$', 'NN', 'IN', 'PRP$']"
20,his friend of his prospective,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['PRP$', 'NN', 'IN', 'PRP$', 'JJ']"
21,friend of his prospective bride,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'IN', 'PRP$', 'JJ', 'NN']"
22,of his prospective bride Rukmini,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'PRP$', 'JJ', 'NN', 'NNP']"
23,He had vowed to destroy,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['PRP', 'VBD', 'VBN', 'TO', 'VB']"
24,had vowed to destroy the,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'VBN', 'TO', 'VB', 'DT']"
25,vowed to destroy the Yadavas,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'TO', 'VB', 'DT', 'NNP']"
26,to destroy the Yadavas and,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['TO', 'VB', 'DT', 'NNP', 'CC']"
27,destroy the Yadavas and relieve,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'DT', 'NNP', 'CC', 'VB']"
28,the Yadavas and relieve the,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NNP', 'CC', 'VB', 'DT']"
29,Yadavas and relieve the earth,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'CC', 'VB', 'DT', 'JJ']"
30,and relieve the earth of,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['CC', 'VBP', 'DT', 'JJ', 'IN']"
31,relieve the earth of these,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'DT', 'NN', 'IN', 'DT']"
32,the earth of these undesirable,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', 'IN', 'DT', 'JJ']"
33,earth of these undesirable people,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'IN', 'DT', 'JJ', 'NNS']"
34,"To carry out the resolve,",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['TO', 'VB', 'RP', 'DT', 'NNP']"
35,"carry out the resolve, Salva",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'IN', 'DT', 'NN', ',', 'NNP']"
36,"out the resolve, Salva began",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NN', ',', 'NNP', 'VBD']"
37,"the resolve, Salva began to",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', ',', 'NNP', 'VBD', 'TO']"
38,"resolve, Salva began to worship",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', ',', 'NNP', 'VBD', 'TO', 'NN']"
39,Salva began to worship Shiva,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'VBD', 'TO', 'NN', 'NNP']"
40,began to worship Shiva living,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'TO', 'NN', 'NNP', 'NN']"
41,to worship Shiva living on,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['TO', 'NN', 'NNP', 'NN', 'IN']"
42,worship Shiva living on a,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'NNP', 'NN', 'IN', 'DT']"
43,Shiva living on a handful,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'NN', 'IN', 'DT', 'NN']"
44,living on a handful of,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBG', 'IN', 'DT', 'NN', 'IN']"
45,on a handful of dust,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NN', 'IN', 'NN']"
46,"After nearly a year, Shiva",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'RB', 'DT', 'NN', ',', 'NNP']"
47,"nearly a year, Shiva appeared",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['RB', 'DT', 'NN', ',', 'NNP', 'VBD']"
48,"a year, Shiva appeared with",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', ',', 'NNP', 'VBD', 'IN']"
49,"year, Shiva appeared with the",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', ',', 'NNP', 'VBD', 'IN', 'DT']"
50,Shiva appeared with the offer,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'VBD', 'IN', 'DT', 'NN']"
51,appeared with the offer of,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'IN', 'DT', 'NN', 'IN']"
52,with the offer of a,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NN', 'IN', 'DT']"
53,the offer of a boon,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', 'IN', 'DT', 'NN']"
54,Salva asked for a chariot,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'VBD', 'IN', 'DT', 'NN']"
55,asked for a chariot that,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'IN', 'DT', 'NN', 'WDT']"
56,for a chariot that could,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NN', 'WDT', 'MD']"
57,a chariot that could traverse,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', 'WDT', 'MD', 'VB']"
58,chariot that could traverse the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'IN', 'MD', 'VB', 'DT']"
59,that could traverse the entire,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'MD', 'VB', 'DT', 'JJ']"
60,could traverse the entire universe,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['MD', 'VB', 'DT', 'JJ', 'NN']"
61,"traverse the entire universe unhindered,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'DT', 'JJ', 'NN', 'NN']"
62,"the entire universe unhindered, strike",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'JJ', 'NN', 'VBD', ',', 'NN']"
63,"entire universe unhindered, strike terror",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'NN', 'VBD', ',', 'NN', 'NN']"
64,"universe unhindered, strike terror in",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'VBD', ',', 'NN', 'NN', 'IN']"
65,"unhindered, strike terror in the",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', ',', 'NN', 'NN', 'IN', 'DT']"
66,strike terror in the hearts,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'NN', 'IN', 'DT', 'NNS']"
67,terror in the hearts of,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'IN', 'DT', 'NNS', 'IN']"
68,in the hearts of the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NNS', 'IN', 'DT']"
69,"the hearts of the Yadavas,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NNS', 'IN', 'DT', 'JJ']"
70,"hearts of the Yadavas, and",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNS', 'IN', 'DT', 'NNP', ',', 'CC']"
71,"of the Yadavas, and also",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NNP', ',', 'CC', 'RB']"
72,"the Yadavas, and also help",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NNP', ',', 'CC', 'RB', 'VB']"
73,"Yadavas, and also help him",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', ',', 'CC', 'RB', 'VB', 'PRP']"
74,and also help him from,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['CC', 'RB', 'VB', 'PRP', 'IN']"
75,also help him from succumbing,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['RB', 'VBP', 'PRP', 'IN', 'VBG']"
76,help him from succumbing to,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'PRP', 'IN', 'VBG', 'TO']"
77,him from succumbing to the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['PRP', 'IN', 'VBG', 'TO', 'DT']"
78,from succumbing to the attacks,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'VBG', 'TO', 'DT', 'NNS']"
79,succumbing to the attacks of,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBG', 'TO', 'DT', 'NNS', 'IN']"
80,to the attacks of the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['TO', 'DT', 'NNS', 'IN', 'DT']"
81,"the attacks of the celestials,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NNS', 'IN', 'DT', 'JJ']"
82,"attacks of the celestials, asuras,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNS', 'IN', 'DT', 'NNS', ',', 'NNP']"
83,"of the celestials, asuras, mortals,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'DT', 'NNS', ',', 'NNS', ',', 'NNP']"
84,"the celestials, asuras, mortals, gandharvas,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNP']"
85,"celestials, asuras, mortals, gandharvas, reptiles",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS']"
86,"asuras, mortals, gandharvas, reptiles or",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', 'CC']"
87,"mortals, gandharvas, reptiles or rakshasas",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNS', ',', 'NNS', ',', 'NNS', 'CC', 'NNS']"
88,"Ordered by Shiva, the asura",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'IN', 'NNP', ',', 'DT', 'NN']"
89,"by Shiva, the asura architect",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'NNP', ',', 'DT', 'NN', 'NN']"
90,"Shiva, the asura architect Maya",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', ',', 'DT', 'NN', 'NN', 'NNP']"
91,the asura architect Maya created,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', 'NN', 'NNP', 'VBD']"
92,asura architect Maya created an,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'NN', 'NNP', 'VBD', 'DT']"
93,architect Maya created an iron,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'NNP', 'VBD', 'DT', 'NN']"
94,Maya created an iron chariot,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'VBD', 'DT', 'NN', 'NN']"
95,created an iron chariot named,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'DT', 'NN', 'NN', 'VBD']"
96,"an iron chariot named Soubha,",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', 'NN', 'VBD', 'JJ']"
97,"iron chariot named Soubha, and",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'VBD', 'VBN', 'NNP', ',', 'CC']"
98,"chariot named Soubha, and gave",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'VBD', 'NNP', ',', 'CC', 'VBD']"
99,"named Soubha, and gave it",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'NNP', ',', 'CC', 'VBD', 'PRP']"
100,"Soubha, and gave it to",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', ',', 'CC', 'VBD', 'PRP', 'TO']"
101,and gave it to Salva.,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['CC', 'VBD', 'PRP', 'TO', 'NNP', '.']"
