S.No,Fourgram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
24,He had vowed to,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['PRP', 'VBD', 'VBN', 'TO']"
25,had vowed to destroy,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'VBN', 'TO', 'VB']"
26,vowed to destroy the,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'TO', 'VB', 'DT']"
27,to destroy the Yadavas,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['TO', 'VB', 'DT', 'NNP']"
28,destroy the Yadavas and,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'DT', 'NNP', 'CC']"
29,the Yadavas and relieve,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NNP', 'CC', 'VB']"
30,Yadavas and relieve the,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'CC', 'VB', 'DT']"
31,and relieve the earth,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['CC', 'VBP', 'DT', 'JJ']"
32,relieve the earth of,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'DT', 'NN', 'IN']"
33,the earth of these,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'IN', 'DT']"
34,earth of these undesirable,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'DT', 'JJ']"
35,of these undesirable people,0 0 1,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'JJ', 'NNS']"
36,To carry out the,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.2388820889151366,0.011578337279580716,No,"['TO', 'VB', 'RP', 'DT']"
37,"carry out the resolve,",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'DT', 'NNP']"
38,"out the resolve, Salva",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NN', ',', 'NNP']"
39,"the resolve, Salva began",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', ',', 'NNP', 'VBD']"
40,"resolve, Salva began to",0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', ',', 'NNP', 'VBD', 'TO']"
41,Salva began to worship,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'VBD', 'TO', 'NN']"
42,began to worship Shiva,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'TO', 'NN', 'NNP']"
43,to worship Shiva living,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['TO', 'NN', 'NNP', 'NN']"
44,worship Shiva living on,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'NNP', 'NN', 'IN']"
45,Shiva living on a,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'NN', 'IN', 'DT']"
46,living on a handful,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBG', 'IN', 'DT', 'NN']"
47,on a handful of,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NN', 'IN']"
48,a handful of dust,0 0 2,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'IN', 'NN']"
49,"After nearly a year,",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'RB', 'DT', 'JJ']"
50,"nearly a year, Shiva",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['RB', 'DT', 'NN', ',', 'NNP']"
51,"a year, Shiva appeared",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', ',', 'NNP', 'VBD']"
52,"year, Shiva appeared with",0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', ',', 'NNP', 'VBD', 'IN']"
53,Shiva appeared with the,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'VBD', 'IN', 'DT']"
54,appeared with the offer,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'IN', 'DT', 'NN']"
55,with the offer of,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NN', 'IN']"
56,the offer of a,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'IN', 'DT']"
57,offer of a boon,0 0 3,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'DT', 'NN']"
58,Salva asked for a,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'VBD', 'IN', 'DT']"
59,asked for a chariot,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'IN', 'DT', 'NN']"
60,for a chariot that,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NN', 'WDT']"
61,a chariot that could,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'WDT', 'MD']"
62,chariot that could traverse,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'MD', 'VB']"
63,that could traverse the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'MD', 'VB', 'DT']"
64,could traverse the entire,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['MD', 'VB', 'DT', 'JJ']"
65,traverse the entire universe,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'DT', 'JJ', 'NN']"
66,"the entire universe unhindered,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'JJ', 'NN', 'NN']"
67,"entire universe unhindered, strike",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'NN', 'VBD', ',', 'NN']"
68,"universe unhindered, strike terror",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'VBD', ',', 'NN', 'NN']"
69,"unhindered, strike terror in",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', ',', 'NN', 'NN', 'IN']"
70,strike terror in the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'NN', 'IN', 'DT']"
71,terror in the hearts,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'DT', 'NNS']"
72,in the hearts of,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.1139433523068367,0.010410685535577913,No,"['IN', 'DT', 'NNS', 'IN']"
73,the hearts of the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.2388820889151366,0.011578337279580716,No,"['DT', 'NNS', 'IN', 'DT']"
74,"hearts of the Yadavas,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNS', 'IN', 'DT', 'JJ']"
75,"of the Yadavas, and",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NNP', ',', 'CC']"
76,"the Yadavas, and also",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NNP', ',', 'CC', 'RB']"
77,"Yadavas, and also help",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', ',', 'CC', 'RB', 'VB']"
78,and also help him,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['CC', 'RB', 'VB', 'PRP']"
79,also help him from,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['RB', 'VBP', 'PRP', 'IN']"
80,help him from succumbing,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'PRP', 'IN', 'VBG']"
81,him from succumbing to,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['PRP', 'IN', 'VBG', 'TO']"
82,from succumbing to the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'VBG', 'TO', 'DT']"
83,succumbing to the attacks,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBG', 'TO', 'DT', 'NNS']"
84,to the attacks of,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['TO', 'DT', 'NNS', 'IN']"
85,the attacks of the,0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NNS', 'IN', 'DT']"
86,"attacks of the celestials,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNS', 'IN', 'DT', 'JJ']"
87,"of the celestials, asuras,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NNS', ',', 'NNP']"
88,"the celestials, asuras, mortals,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NNS', ',', 'NNS', ',', 'NNP']"
89,"celestials, asuras, mortals, gandharvas,",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNS', ',', 'NNS', ',', 'NNS', ',', 'NNP']"
90,"asuras, mortals, gandharvas, reptiles",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS']"
91,"mortals, gandharvas, reptiles or",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNS', ',', 'NNS', ',', 'NNS', 'CC']"
92,"gandharvas, reptiles or rakshasas",0 0 4,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNS', ',', 'NNS', 'CC', 'NNS']"
93,"Ordered by Shiva, the",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'IN', 'NNP', ',', 'DT']"
94,"by Shiva, the asura",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'NNP', ',', 'DT', 'NN']"
95,"Shiva, the asura architect",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', ',', 'DT', 'NN', 'NN']"
96,the asura architect Maya,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'NN', 'NNP']"
97,asura architect Maya created,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'NN', 'NNP', 'VBD']"
98,architect Maya created an,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'NNP', 'VBD', 'DT']"
99,Maya created an iron,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'VBD', 'DT', 'NN']"
100,created an iron chariot,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'DT', 'NN', 'NN']"
101,an iron chariot named,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'NN', 'VBD']"
102,"iron chariot named Soubha,",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'VBD', 'VBN', '-NONE-']"
103,"chariot named Soubha, and",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'VBD', 'NNP', ',', 'CC']"
104,"named Soubha, and gave",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'NNP', ',', 'CC', 'VBD']"
105,"Soubha, and gave it",0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', ',', 'CC', 'VBD', 'PRP']"
106,and gave it to,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.2388820889151366,0.011578337279580716,No,"['CC', 'VBD', 'PRP', 'TO']"
107,gave it to Salva.,0 0 5,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'PRP', 'TO', 'NNP', '.']"
